FoodId,FoodName,OptionName,Price
2f2648f3-af1e-4ccb-934f-6407f38a7424,Sinigang na Bangus,with rice,45
2f2648f3-af1e-4ccb-934f-6407f38a7424,hamonado,with rice,50
2f2648f3-af1e-4ccb-934f-6407f38a7424,hamonado,with lemon,65
7faa03c0-41a3-4dfe-969b-c378a3e2d82d,Beef Stake,,40
7faa03c0-41a3-4dfe-969b-c378a3e2d82d,Beef Stake,with rice,50
7faa03c0-41a3-4dfe-969b-c378a3e2d82d,Adobo,with rice,45
7faa03c0-41a3-4dfe-969b-c378a3e2d82d,Sinigang na Bangus,with rice,45
7faa03c0-41a3-4dfe-969b-c378a3e2d82d,Sinigang na Bangus,with coke,50
1b9c6f91-4fd9-4b76-8a9f-f10786081438,Beef Stake,with coke,55
1b9c6f91-4fd9-4b76-8a9f-f10786081438,Beef Stake,with rice,50
1b9c6f91-4fd9-4b76-8a9f-f10786081438,Sinigang na Bangus,with rice,45
1b9c6f91-4fd9-4b76-8a9f-f10786081438,Adobo,with rice,45
1b9c6f91-4fd9-4b76-8a9f-f10786081438,Adobo,with lemon,60
1b9c6f91-4fd9-4b76-8a9f-f10786081438,hamonado,with lemon,65
1b9c6f91-4fd9-4b76-8a9f-f10786081438,afritada,with lemon,65
95a6210d-8e06-4efd-a01c-c6e5be9ab908,-,with rice,10
95a6210d-8e06-4efd-a01c-c6e5be9ab908,Beef Stake,with coke,55
2044d390-5899-4393-8023-345edf15cdf0,Beef Stake,,40
2044d390-5899-4393-8023-345edf15cdf0,Adobo,,35
2044d390-5899-4393-8023-345edf15cdf0,Adobo,with rice,45
47ea3a69-b18e-40a9-9095-f6e34cec4faf,Beef Stake,,40
47ea3a69-b18e-40a9-9095-f6e34cec4faf,Beef Stake,with rice,50
f809be56-dd79-40e7-a1cb-8279875e9acb,Adobo,,35
f809be56-dd79-40e7-a1cb-8279875e9acb,Adobo,with rice,45
f809be56-dd79-40e7-a1cb-8279875e9acb,Beef Stake,with rice,50
0f82f66f-b40b-4e05-a85b-7c8dcc4db6ac,Beef Stake,,40
0f82f66f-b40b-4e05-a85b-7c8dcc4db6ac,Beef Stake,with rice,50
3ac0e328-9722-4460-88b9-2e18bd534438,Adobo,,35
3ac0e328-9722-4460-88b9-2e18bd534438,Adobo,with rice,45
